"filename", "language", "C++", "Markdown", "YAML", "Dart", "Swift", "XML", "JSON", "HTML", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"g:\quiz_app_new\macos\Runner\GoogleService-Info.plist", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"g:\quiz_app_new\macos\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"g:\quiz_app_new\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"g:\quiz_app_new\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"g:\quiz_app_new\pubspec.yaml", "YAML", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 53, 14, 111
"g:\quiz_app_new\test\widget_test.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 10, 7, 32
"g:\quiz_app_new\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"g:\quiz_app_new\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"g:\quiz_app_new\windows\flutter\generated_plugin_registrant.cc", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"g:\quiz_app_new\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"g:\quiz_app_new\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"g:\quiz_app_new\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"g:\quiz_app_new\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"g:\quiz_app_new\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"g:\quiz_app_new\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"g:\quiz_app_new\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"g:\quiz_app_new\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"g:\quiz_app_new\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 543, 13, 50, 2035, 66, 662, 348, 38, 8, 102, 4, 350, 608, 4827
